prefecture-level city,Prefecture level city code,year,province,Local general public budget expenditures_Ten thousand yuan_Citywide,Education expenditure_Ten thousand yuan_Citywide,education level spending
Beijing,110000,2003,Beijing,7348043,988222,0.13448778
Beijing,110000,2004,Beijing,8982756,1213881,0.13513458
Beijing,110000,2005,Beijing,10583114,1458723,0.13783495
Beijing,110000,2006,Beijing,12968389,1751755,0.13507884
Beijing,110000,2007,Beijing,16495023,2630041,0.15944452
Beijing,110000,2008,Beijing,19592857,3162957,0.16143419
Beijing,110000,2009,Beijing,23193658,3656677,0.15765849
Beijing,110000,2010,Beijing,27173174,4502155,0.16568381
Beijing,110000,2011,Beijing,32452264,5200778,0.16025933
Beijing,110000,2012,Beijing,36853076,6286510,0.17058305
Beijing,110000,2013,Beijing,41736563,6811775,0.16320882
Beijing,110000,2014,Beijing,45246690,7420541,0.16400185
Beijing,110000,2015,Beijing,57377011,8556654,0.14913035
Beijing,110000,2016,Beijing,64066737,8873761,0.13850808
Beijing,110000,2017,Beijing,68194936,9645817,0.14144477
Beijing,110000,2018,Beijing,74675240,10255068,0.13732889
Beijing,110000,2019,Beijing,74082503,11360185,0.15334505
Beijing,110000,2020,Beijing,71161762,11382891,0.15995797
Beijing,110000,2021,Beijing,72051201,11478293,0.15930745
Tianjin City,120000,2003,Tianjin City,3120771,475804,0.15246361
Tianjin City,120000,2004,Tianjin City,3750212,553991,0.14772258
Tianjin City,120000,2005,Tianjin City,4421207,672034,0.15200238
Tianjin City,120000,2006,Tianjin City,5431219,815828,0.15021085
Tianjin City,120000,2007,Tianjin City,6743262,1100248,0.16316258
Tianjin City,120000,2008,Tianjin City,8677245,1416985,0.16329895
Tianjin City,120000,2009,Tianjin City,11242778,1736062,0.15441575
Tianjin City,120000,2010,Tianjin City,13768395,2295648,0.16673316
Tianjin City,120000,2011,Tianjin City,17963333,3023241,0.16830067
Tianjin City,120000,2012,Tianjin City,21432125,3787491,0.17672027
Tianjin City,120000,2013,Tianjin City,25492061,4613571,0.1809807
Tianjin City,120000,2014,Tianjin City,28846993,5170063,0.17922364
Tianjin City,120000,2015,Tianjin City,32323500,5074400,0.15698795
Tianjin City,120000,2016,Tianjin City,36994300,5024901,0.13582906
Tianjin City,120000,2017,Tianjin City,32808795,4352701,0.13266872
Tianjin City,120000,2018,Tianjin City,31045305,4466652,0.14387528
Tianjin City,120000,2019,Tianjin City,35087128,4669789,0.13309123
Tianjin City,120000,2020,Tianjin City,31513505,4429121,0.14054676
Tianjin City,120000,2021,Tianjin City,31525478,4792461,0.15201866
Shijiazhuang City,130100,2003,Hebei Province,802274,173404,0.21614062
Shijiazhuang City,130100,2004,Hebei Province,929683,204151,0.21959205
Shijiazhuang City,130100,2005,Hebei Province,1081627,240891,0.22271171
Shijiazhuang City,130100,2006,Hebei Province,1282462,268570,0.20941751
Shijiazhuang City,130100,2007,Hebei Province,1631692,402666,0.24677819
Shijiazhuang City,130100,2008,Hebei Province,1937869,491523,0.25364098
Shijiazhuang City,130100,2009,Hebei Province,2409171,612552,0.25425842
Shijiazhuang City,130100,2010,Hebei Province,3051647,700086,0.22941251
Shijiazhuang City,130100,2011,Hebei Province,4035381,875153,0.21686998
Shijiazhuang City,130100,2012,Hebei Province,4640932,1092790,0.23546779
Shijiazhuang City,130100,2013,Hebei Province,5229442,1161551,0.22211758
Shijiazhuang City,130100,2014,Hebei Province,5664878,1200899,0.21199027
Shijiazhuang City,130100,2015,Hebei Province,6823857,1361602,0.19953554
Shijiazhuang City,130100,2016,Hebei Province,7461188,1591856,0.21335155
Shijiazhuang City,130100,2017,Hebei Province,8067284,1676709,0.20784058
Shijiazhuang City,130100,2018,Hebei Province,9916127,1971155,0.19878275
Shijiazhuang City,130100,2019,Hebei Province,10513884,2144377,0.20395669
Shijiazhuang City,130100,2020,Hebei Province,11422265,2185270,0.1913167
Shijiazhuang City,130100,2021,Hebei Province,11527442,2269961,0.19691802
Tangshan City,130200,2003,Hebei Province,729967,131388,0.1799917
Tangshan City,130200,2004,Hebei Province,975576,174319,0.17868316
Tangshan City,130200,2005,Hebei Province,1277866,208213,0.16293805
Tangshan City,130200,2006,Hebei Province,1515404,233849,0.15431463
Tangshan City,130200,2007,Hebei Province,1929440,358997,0.1860628
Tangshan City,130200,2008,Hebei Province,2570426,465656,0.18115908
Tangshan City,130200,2009,Hebei Province,2857675,513967,0.17985495
Tangshan City,130200,2010,Hebei Province,3324335,602372,0.18120075
