prefecture-level city,Prefecture level city code,year,Local general public budget expenditures_Ten thousand yuan_Citywide,science and technology expenditure_Ten thousand yuan_Citywide,Scientific and technological level
Beijing,110000,2003,7348043,107629,0.0146473
Beijing,110000,2004,8982756,132556,0.01475672
Beijing,110000,2005,10583114,157439,0.01487643
Beijing,110000,2006,12968389,193238,0.01490069
Beijing,110000,2007,16495023,907420,0.05501175
Beijing,110000,2008,19592857,1121886,0.05725995
Beijing,110000,2009,23193658,1263072,0.05445765
Beijing,110000,2010,27173174,1789154,0.06584266
Beijing,110000,2011,32452264,1830745,0.05641348
Beijing,110000,2012,36853076,1999444,0.05425447
Beijing,110000,2013,41736563,2346742,0.05622749
Beijing,110000,2014,45246690,2827117,0.06248229
Beijing,110000,2015,57377011,2877956,0.0501587
Beijing,110000,2016,64066737,2857785,0.04460638
Beijing,110000,2017,68194936,3617191,0.05304193
Beijing,110000,2018,74675240,4258712,0.05702977
Beijing,110000,2019,74082503,4334165,0.05850457
Beijing,110000,2020,71161762,4109628,0.05775051
Beijing,110000,2021,72051201,4494463,0.06237874
Tianjin City,120000,2003,3120771,19403,0.00621737
Tianjin City,120000,2004,3750212,22915,0.00611032
Tianjin City,120000,2005,4421207,27989,0.00633062
Tianjin City,120000,2006,5431219,33063,0.00608758
Tianjin City,120000,2007,6743262,223384,0.03312699
Tianjin City,120000,2008,8677245,286530,0.03302085
Tianjin City,120000,2009,11242778,339953,0.03023746
Tianjin City,120000,2010,13768395,432530,0.0314147
Tianjin City,120000,2011,17963333,601721,0.03349718
Tianjin City,120000,2012,21432125,764529,0.0356721
Tianjin City,120000,2013,25492061,928087,0.0364069
Tianjin City,120000,2014,28846993,1089967,0.03778442
Tianjin City,120000,2015,32323500,1208200,0.03737838
Tianjin City,120000,2016,36994300,1251740,0.03383602
Tianjin City,120000,2017,32808795,1159606,0.03534436
Tianjin City,120000,2018,31045305,1057097,0.03405014
Tianjin City,120000,2019,35087128,1099548,0.03133765
Tianjin City,120000,2020,31513505,1181712,0.03749859
Tianjin City,120000,2021,31525478,1039691,0.03297939
Shijiazhuang City,130100,2003,802274,3253,0.00405472
Shijiazhuang City,130100,2004,929683,3828,0.00411753
Shijiazhuang City,130100,2005,1081627,4519,0.00417797
Shijiazhuang City,130100,2006,1282462,4542,0.00354163
Shijiazhuang City,130100,2007,1631692,31567,0.01934618
Shijiazhuang City,130100,2008,1937869,40922,0.02111701
Shijiazhuang City,130100,2009,2409171,38732,0.0160769
Shijiazhuang City,130100,2010,3051647,45021,0.01475302
Shijiazhuang City,130100,2011,4035381,63205,0.01566271
Shijiazhuang City,130100,2012,4640932,75058,0.01617304
Shijiazhuang City,130100,2013,5229442,80065,0.01531043
Shijiazhuang City,130100,2014,5664878,72908,0.01287018
Shijiazhuang City,130100,2015,6823857,90482,0.01325966
Shijiazhuang City,130100,2016,7461188,122300,0.01639149
Shijiazhuang City,130100,2017,8067284,100610,0.01247136
Shijiazhuang City,130100,2018,9916127,118720,0.01197242
Shijiazhuang City,130100,2019,10513884,123373,0.01173429
Shijiazhuang City,130100,2020,11422265,152812,0.01337843
Shijiazhuang City,130100,2021,11527442,153639,0.01332811
Tangshan City,130200,2003,729967,2046,0.00280287
Tangshan City,130200,2004,975576,2232,0.00228788
Tangshan City,130200,2005,1277866,2508,0.00196265
Tangshan City,130200,2006,1515404,3287,0.00216906
Tangshan City,130200,2007,1929440,29494,0.0152863
Tangshan City,130200,2008,2570426,39038,0.01518737
Tangshan City,130200,2009,2857675,38572,0.01349769
Tangshan City,130200,2010,3324335,47728,0.01435716
Tangshan City,130200,2011,4416812,61956,0.01402731
Tangshan City,130200,2012,4903141,105895,0.02159738
Tangshan City,130200,2013,4971792,90477,0.01819807
Tangshan City,130200,2014,5246569,81583,0.01554978
Tangshan City,130200,2015,5922620,64203,0.0108403
Tangshan City,130200,2016,6425412,85842,0.01335977
Tangshan City,130200,2017,6626323,71110,0.01073144
Tangshan City,130200,2018,7492880,89057,0.01188555
Tangshan City,130200,2019,7975076,98211,0.01231474
Tangshan City,130200,2020,9262511,123386,0.01332101
Tangshan City,130200,2021,9214638,134692,0.01461718
Qinhuangdao City,130300,2003,304085,455,0.00149629
Qinhuangdao City,130300,2004,342841,478,0.00139423
Qinhuangdao City,130300,2005,440826,618,0.00140191
Qinhuangdao City,130300,2006,554172,745,0.00134435
Qinhuangdao City,130300,2007,723444,5251,0.00725834
Qinhuangdao City,130300,2008,941871,5069,0.00538184
Qinhuangdao City,130300,2009,1037192,5986,0.00577135
Qinhuangdao City,130300,2010,1357443,7799,0.00574536
Qinhuangdao City,130300,2011,1686186,10790,0.00639906
Qinhuangdao City,130300,2012,1999739,11971,0.00598628
Qinhuangdao City,130300,2013,2003166,13887,0.00693253
Qinhuangdao City,130300,2014,2119627,18960,0.00894497
Qinhuangdao City,130300,2015,2282969,9195,0.00402765
Qinhuangdao City,130300,2016,2455712,29152,0.0118711
Qinhuangdao City,130300,2017,2626987,30410,0.011576
Qinhuangdao City,130300,2018,2912487,30638,0.01051953
Qinhuangdao City,130300,2019,3179413,31044,0.00976407
Qinhuangdao City,130300,2020,3402821,22078,0.00648815
Qinhuangdao City,130300,2021,3109139,28114,0.00904237
Handan,130400,2003,483180,1198,0.00247941
Handan,130400,2004,636700,1529,0.00240144
Handan,130400,2005,838438,1948,0.00232337
Handan,130400,2006,1095592,2141,0.00195419
Handan,130400,2007,1303088,15761,0.01209512
Handan,130400,2008,1549911,17851,0.01151744
Handan,130400,2009,1977222,20145,0.01018854
Handan,130400,2010,2638552,21509,0.00815182
Handan,130400,2011,3286308,26699,0.00812431
